resort_id,resort_name,logo_file_name,state_full,state_short,address_full,lat,lon,main_url,conditions_url,map_url,acres,trails,lifts,vertical,resort_open
'perfect-north-slopes','Perfect North Slopes','perfect-north-logo.png','Indiana','IN','19074 Perfect Lane, Lawrenceburg, IN 47025','39.15107924069298','-84.8858208026754','https://www.perfectnorth.com/','https://www.perfectnorth.com/snow-report','https://goo.gl/maps/M9rqdn9arLbXF52o8','100','23','7','400',0
'paoli-peaks','Paoli Peaks','paoli-peaks-logo.svg','Indiana','IN','2798 W. County Road 25 S, Paoli, IN 47454','38.5574763058665','-86.50665478920111','https://www.paolipeaks.com/','https://www.paolipeaks.com/the-mountain/mountain-conditions/lift-and-terrain-status.aspx','https://goo.gl/maps/aA5bWk8ppQsCMBBK9','65','17','8','300',0
'ober-gatlinburg','Ober Gatlinburg Ski Area','ober-gatlinburg-logo.png','Tennessee','TN','1339 Ski Mountain Rd, Gatlinburg, TN 37738','35.70335888907001','-83.558261402745','https://obergatlinburg.com/','https://obergatlinburg.com/slope-report/','https://goo.gl/maps/AoGpKQNmymV4kWVy9','UNK','10','5','556',0
'winterplace','Winterplace Ski Resort','winterplace-logo.png','West Virginia','WV','100 Old Flat Top Mountain Road, Ghent, WV 25843','37.596503114957756','-81.11997013343228','https://www.winterplace.com/','https://www.winterplace.com/snow-report','https://goo.gl/maps/zCT2Ns2rjFdxHYfg6','90','27','9','603',0
'snowshoe','Snowshoe Mountain','snowshoe-logo.png','West Virginia','WV','10 Snowshoe Drive, Snowshoe, WV 26209','38.41481233984178','-80.03262427386323','https://www.snowshoemtn.com/','https://www.snowshoemtn.com/mountain-info/mountain-report#/all-trails','https://goo.gl/maps/gaTUXeYyDgTXPp249','244','60','14','1500',0
'canaan-valley','Canaan Valley Resort','canaan-valley-logo.png','West Virginia','WV','230 Main Lodge Road, Davis, WV 26260','39.02460711416216','-79.46477768733696','https://www.canaanresort.com/','https://www.canaanresort.com/trail-report/','https://goo.gl/maps/v8zBhXXSV23cZurv8','78','39','3','850',0
'timberline-mountain','Timberline Mountain','timberline-logo.png','West Virginia','WV','254 Four Seasons Drive, Davis, WV 26260','39.04263630237139','-79.39900854429233','https://timberlinemountain.com/','https://timberlinemountain.com/snow-report','https://goo.gl/maps/7rDqBzfk3vw67DsD7','91','40','3','1000',0
'cataloochee','Cataloochee Ski Area','cataloochee-logo.png','North Carolina','NC','1080 Ski Lodge Road, Maggie Valley, NC 28751','35.563611159813924','-83.09020697394982','https://cataloochee.com/','https://cataloochee.com/the-mountain/snow-report/','https://goo.gl/maps/eKPzcL1hSrYh2bX96','50','17','5','740',1
'beech-mountain','Beech Mountain Resort','beech-logo.png','North Carolina','NC','1007 Beech Mountain Pkwy, Beech Mountain, NC 28604','36.18515248681911','-81.87989331626032','https://www.beechmountainresort.com/','https://www.beechmountainresort.com/mountain/winter-trail-map/','https://goo.gl/maps/AtteeCn4Cz9ZFtjS6','95','15','10','830',0
'sugar-mountain','Sugar Mountain Resort','sugar-logo.png','North Carolina','NC','1009 Sugar Mountain Drive, Sugar Mountain, NC 28604','36.13028845112314','-81.85913763160436','http://www.skisugar.com/','http://www.skisugar.com/#map','https://goo.gl/maps/A6KDEiMkBZA47aKt9','115','20','6','1200',1
'wolf-ridge','Wolf Ridge Ski Resort','wolf-ridge-logo.png','North Carolina','NC','578 Valley View Circle Mars Hill, NC 28754','36.02153540770578','-82.48665163158509','https://skiwolfridgenc.com/','https://skiwolfridgenc.com/the-mountain/snow-report','https://goo.gl/maps/VP2U6nfb4DYPiyvZ8','82','15','5','700',0
'appalachian','Appalachian Ski Mountain','appalachian-logo.jpg','North Carolina','NC','940 Ski Mountain Rd, Blowing Rock, NC 28605','36.261083704021296','-81.65169068999924','https://appskimtn.com/','https://appskimtn.com/slope-report','https://goo.gl/maps/CoG246CZjtYHnqzT7','82','12','3','365',0
'ski-sapphire','Sapphire Valley Ski Resort','sapphire-logo.jpg','North Carolina','NC','127 Cherokee Trail, Sapphire, NC 28774','35.125289382285146','-83.05728633090555','https://timberlinemountain.com/','https://timberlinemountain.com/snow-report','https://goo.gl/maps/sZvjM1WqrPGRhz2d6','8','2','3','200',0
'wintergreen','Wintergreen Resort','wintergreen-logo.png','Virginia','VA','Route 664 Wintergreen, VA 22958','37.93062827333366','-78.94169712696657','https://www.wintergreenresort.com/','https://www.wintergreenresort.com/Slopes/','https://goo.gl/maps/ALcWD6WyHNH4ZqYJA','129','26','5','1003',0
'bryce','Bryce Resort','bryce-resort-logo.jpg','Virginia','VA','1982 Fairway Dr, Basye, VA 22810','38.81764573011088','-78.76568127094646','https://bryceresort.com/','https://bryceresort.com/mountain-info/conditions','https://goo.gl/maps/ra9qzJSygFcXiCHe8','25','8','5','500',0
'massanutten','Massanutten Resort','massanutten-logo.png','Virginia','VA','1822 Resort Drive, McGaheysville, VA 22840','38.40702408447214','-78.71575594431003','https://www.massresort.com/','https://www.massresort.com/play/snow-sports/snow-conditions/','https://goo.gl/maps/9oJETKV36RJgLfqk8','70','14','7','1110',0
'wisp','Wisp Resort','wisp-resort-logo.png','Maryland','MD','296 Marsh Hill Road | McHenry, MD 21541','39.557102888079285','-79.36292488660564','https://www.wispresort.com/','https://www.wispresort.com/Mountain-Report/','https://goo.gl/maps/YdiFdZVs589gzsYy5','132','32','13','700',0
'hidden-valley-mo','Hidden Valley (MO)','logo-hidden-valley.png','Missouri','MO','17409 Hidden Valley Dr, Wildwood, MO 63025','38.53270133305236','-90.64833890269509','https://www.hiddenvalleyski.com/','https://www.hiddenvalleyski.com/the-mountain/mountain-conditions/lift-and-terrain-status.aspx','https://goo.gl/maps/JDJ6UonpEaDJNv298','65','17','5','320',0
'snow-creek-mo','Snow Creek (MO)','snow-creek.png','Missouri','MO','1 Snow Creek Dr, Weston, MO 64098','39.467437299787946','-94.97085961985682','https://www.skisnowcreek.com/','https://www.skisnowcreek.com/the-mountain/mountain-conditions/lift-and-terrain-status.aspx','https://goo.gl/maps/bBuEeTsuRoHxtQGh9','65','14','6','320',0
'snow-trails','Snow Trails','snow-trails-logo.png','Ohio','OH','3100 POSSUM RUN ROAD MANSFIELD, OHIO 44903','40.673074323255015','-82.50074951611876','https://www.snowtrails.com/','https://www.snowtrails.com/snow-report','https://goo.gl/maps/KyXc2kt1rKzLzd8k9','80','17','9','300',0
'mad-river','Mad River Mountain','mad-river-mountain.jpg','Ohio','OH','1000 Snow Valley Rd, Zanesfield, OH 43360','40.31825190764317','-83.67784217565097','https://www.skimadriver.com/','https://www.skimadriver.com/the-mountain/mountain-conditions/lift-and-terrain-status.aspx','https://goo.gl/maps/wQQWd7fUKf1mkJHY9','144','20','12','300',0
'boston-mills-brandywine','Boston Mills Brandywine','boston-mills-branywine-logo.png','Ohio','OH','7100 Riverview Rd, Peninsula, OH 44264','41.26500154068354','-81.56434435842772','https://www.bmbw.com/','https://www.bmbw.com/the-mountain/mountain-conditions/lift-and-terrain-status.aspx','https://goo.gl/maps/AY69KzWmHkAP7L2j9','79','18','16','240',0
'alpine-valley-oh','Apline Valley (OH)','alpine-valley-logo.png','Ohio','OH','10620 Mayfield Rd, Chesterland, OH 44026','41.52706274908419','-81.25976646026808','https://www.alpinevalleyohio.com/','https://www.alpinevalleyohio.com/the-mountain/mountain-conditions/lift-and-terrain-status.aspx','https://goo.gl/maps/UEdLi3UfGAB4a6Ek6','72','8','4','230',0
'snow-star','Snow Star','alpine-valley-logo.png','Illinois','IL','9500 126th St W, Andalusia, IL 61232','41.42612008895813','-90.7461749','https://skisnowstar.com/','https://skisnowstar.com/live-cameras/','https://goo.gl/maps/H897vrtuKENjEjBx8','28','14','6','262',0
'chestnut-mountain','Chestnut Mountain Resort','chestnut-logo.png','Illinois','IL','8700 W Chestnut Mountain Rd, Galena, IL 61036','42.31915183977034','-90.39376081606294','https://www.chestnutmtn.com/','https://www.chestnutmtn.com/slope-report/','https://goo.gl/maps/8gX6JQGPkCwsgYgt7','146','18','6','475',0